Analiz Başladı

Kare #5 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #460 | Kişi: Aysu | Duygu: Happy (95.9%)
Kare #465 | Kişi: Selin | Duygu: Sad (61.2%)
Kare #470 | Kişi: Selin | Duygu: Happy (98.9%)
Kare #475 | Kişi: Aysu | Duygu: Happy (99.0%)
Kare #480 | Kişi: Kader | Duygu: Happy (50.2%)
Kare #480 | Kişi: Selin | Duygu: Happy (52.5%)
Kare #485 | Kişi: Kader | Duygu: Happy (99.7%)
Kare #490 | Kişi: Aysu | Duygu: Happy (63.1%)
Kare #495 | Kişi: Aysu | Duygu: Sad (90.6%)
Kare #500 | Kişi: Kader | Duygu: Happy (80.8%)
Kare #500 | Kişi: Aysu | Duygu: Happy (52.7%)
Kare #505 | Kişi: Kader | Duygu: Happy (99.2%)
Kare #510 | Kişi: Kader | Duygu: Happy (74.5%)
Kare #515 | Kişi: Aysu | Duygu: Happy (92.6%)
Kare #520 | Kişi: Selin | Duygu: Sad (98.8%)
Kare #525 | Kişi: Selin | Duygu: Happy (89.1%)
Kare #530 | Kişi: Kader | Duygu: Happy (93.8%)
Kare #535 | Kişi: Aysu | Duygu: Happy (96.5%)
Kare #540 | Kişi: Selin | Duygu: Sad (90.6%)
Kare #545 | Kişi: Selin | Duygu: Sad (97.5%)
Kare #550 | Kişi: Selin | Duygu: Sad (97.5%)
Kare #550 | Kişi: Selin | Duygu: Sad (60.5%)
Kare #555 | Kişi: Selin | Duygu: Happy (98.3%)
Kare #560 | Kişi: Aysu | Duygu: Sad (89.6%)
Kare #565 | Kişi: Selin | Duygu: Sad (98.4%)
Kare #570 | Kişi: Aysu | Duygu: Sad (96.8%)
Kare #575 | Kişi: Selin | Duygu: Happy (99.9%)
Kare #580 | Kişi: Aysu | Duygu: Sad (64.3%)
Kare #585 | Kişi: Selin | Duygu: Sad (86.5%)
Kare #590 | Kişi: Kader | Duygu: Sad (97.1%)
Kare #595 | Kişi: Aysu | Duygu: Happy (60.7%)
Kare #600 | Kişi: Aysu | Duygu: Happy (95.0%)
Kare #605 | Kişi: Selin | Duygu: Sad (96.9%)
Kare #610 | Kişi: Aysu | Duygu: Happy (82.8%)
Kare #615 | Kişi: Kader | Duygu: Happy (61.1%)
Kare #620 | Kişi: Aysu | Duygu: Happy (73.1%)
Kare #625 | Kişi: Aysu | Duygu: Happy (96.2%)
Kare #630 | Kişi: Aysu | Duygu: Happy (96.2%)
Kare #635 | Kişi: Selin | Duygu: Sad (71.9%)
Kare #640 | Kişi: Selin | Duygu: Sad (79.1%)
Kare #645 | Kişi: Kader | Duygu: Happy (98.3%)
Kare #650 | Kişi: Aysu | Duygu: Sad (96.4%)
Kare #655 | Kişi: Aysu | Duygu: Sad (100.0%)
Kare #660 | Kişi: Kader | Duygu: Sad (99.8%)
Kare #665 | Kişi: Selin | Duygu: Happy (91.6%)
Kare #670 | Kişi: Aysu | Duygu: Sad (100.0%)
Kare #675 | Kişi: Selin | Duygu: Sad (92.9%)
Kare #680 | Kişi: Selin | Duygu: Happy (99.7%)
Kare #685 | Kişi: Aysu | Duygu: Happy (58.6%)
Kare #690 | Kişi: Aysu | Duygu: Sad (91.9%)
Kare #695 | Kişi: Aysu | Duygu: Happy (96.5%)
Kare #700 | Kişi: Aysu | Duygu: Happy (98.5%)
Kare #705 | Kişi: Aysu | Duygu: Happy (91.4%)
Kare #710 | Kişi: Selin | Duygu: Happy (62.9%)
Kare #715 | Kişi: Selin | Duygu: Happy (85.0%)
Kare #720 | Kişi: Kader | Duygu: Happy (69.5%)
Kare #725 | Kişi: Selin | Duygu: Happy (94.6%)
Kare #730 | Kişi: Aysu | Duygu: Happy (99.6%)
Kare #735 | Kişi: Selin | Duygu: Happy (100.0%)
Kare #740 | Kişi: Selin | Duygu: Happy (99.6%)
Kare #745 | Kişi: Aysu | Duygu: Happy (95.3%)
Kare #750 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #755 | Kişi: Aysu | Duygu: Sad (95.7%)
Kare #760 | Kişi: Aysu | Duygu: Sad (78.0%)
Kare #765 | Kişi: Selin | Duygu: Happy (95.2%)
Kare #770 | Kişi: Aysu | Duygu: Happy (98.8%)
Kare #775 | Kişi: Selin | Duygu: Happy (99.8%)
Kare #780 | Kişi: Aysu | Duygu: Happy (97.6%)
Kare #785 | Kişi: Kader | Duygu: Sad (86.9%)
Kare #790 | Kişi: Aysu | Duygu: Happy (64.9%)
Kare #795 | Kişi: Selin | Duygu: Happy (100.0%)
Kare #800 | Kişi: Aysu | Duygu: Happy (99.6%)
Kare #805 | Kişi: Aysu | Duygu: Sad (99.0%)
Kare #810 | Kişi: Selin | Duygu: Happy (90.9%)
Kare #815 | Kişi: Selin | Duygu: Sad (99.5%)
Kare #820 | Kişi: Selin | Duygu: Sad (98.4%)
Kare #825 | Kişi: Aysu | Duygu: Happy (78.7%)
Kare #830 | Kişi: Aysu | Duygu: Happy (96.7%)
Kare #835 | Kişi: Selin | Duygu: Sad (87.7%)
Kare #840 | Kişi: Aysu | Duygu: Happy (66.7%)
Kare #845 | Kişi: Aysu | Duygu: Happy (100.0%)
Kare #850 | Kişi: Aysu | Duygu: Happy (57.3%)
Kare #855 | Kişi: Aysu | Duygu: Sad (90.1%)
Kare #860 | Kişi: Selin | Duygu: Happy (97.4%)
Kare #865 | Kişi: Aysu | Duygu: Happy (99.5%)
Kare #870 | Kişi: Aysu | Duygu: Happy (70.7%)
Kare #875 | Kişi: Selin | Duygu: Sad (88.7%)
Kare #880 | Kişi: Aysu | Duygu: Happy (78.9%)
Kare #885 | Kişi: Kader | Duygu: Happy (53.6%)
Kare #890 | Kişi: Selin | Duygu: Happy (92.3%)
Kare #895 | Kişi: Selin | Duygu: Happy (90.7%)
Kare #895 | Kişi: Selin | Duygu: Sad (51.2%)
Kare #900 | Kişi: Aysu | Duygu: Happy (96.5%)
Kare #905 | Kişi: Aysu | Duygu: Sad (95.6%)
Kare #910 | Kişi: Kader | Duygu: Sad (99.4%)
Kare #915 | Kişi: Selin | Duygu: Happy (95.0%)
Kare #920 | Kişi: Aysu | Duygu: Sad (88.7%)
Kare #925 | Kişi: Aysu | Duygu: Sad (78.1%)
Kare #930 | Kişi: Aysu | Duygu: Happy (96.2%)
Kare #935 | Kişi: Selin | Duygu: Sad (81.2%)
Kare #940 | Kişi: Selin | Duygu: Sad (92.7%)
Kare #945 | Kişi: Aysu | Duygu: Sad (94.5%)
Kare #950 | Kişi: Selin | Duygu: Happy (99.1%)
Kare #955 | Kişi: Aysu | Duygu: Happy (99.3%)
Kare #960 | Kişi: Selin | Duygu: Happy (92.6%)
Kare #965 | Kişi: Selin | Duygu: Happy (62.2%)
Kare #970 | Kişi: Aysu | Duygu: Sad (63.0%)
Kare #975 | Kişi: Aysu | Duygu: Sad (53.6%)
Kare #980 | Kişi: Aysu | Duygu: Happy (87.4%)
Kare #985 | Kişi: Kader | Duygu: Sad (83.5%)
Kare #990 | Kişi: Kader | Duygu: Happy (84.2%)
Kare #995 | Kişi: Kader | Duygu: Happy (99.0%)
Kare #1000 | Kişi: Selin | Duygu: Happy (95.3%)
Kare #1000 | Kişi: Selin | Duygu: Sad (87.6%)
Kare #1005 | Kişi: Selin | Duygu: Happy (74.2%)
Kare #1010 | Kişi: Kader | Duygu: Happy (91.4%)
Kare #1015 | Kişi: Aysu | Duygu: Happy (85.0%)
Kare #1020 | Kişi: Selin | Duygu: Sad (81.2%)
Kare #1025 | Kişi: Aysu | Duygu: Happy (82.4%)
Kare #1030 | Kişi: Aysu | Duygu: Happy (97.6%)
Kare #1035 | Kişi: Selin | Duygu: Happy (92.5%)
Kare #1040 | Kişi: Selin | Duygu: Happy (87.1%)
Kare #1045 | Kişi: Selin | Duygu: Sad (55.3%)
Kare #1050 | Kişi: Kader | Duygu: Happy (59.6%)
Kare #1055 | Kişi: Aysu | Duygu: Happy (86.4%)
Kare #1060 | Kişi: Aysu | Duygu: Happy (93.3%)
Kare #1065 | Kişi: Selin | Duygu: Happy (99.8%)
Kare #1070 | Kişi: Kader | Duygu: Happy (99.3%)
Kare #1075 | Kişi: Aysu | Duygu: Happy (69.2%)
Kare #1080 | Kişi: Aysu | Duygu: Happy (99.6%)
Kare #1085 | Kişi: Aysu | Duygu: Happy (99.5%)
Kare #1090 | Kişi: Aysu | Duygu: Sad (75.4%)
Kare #1095 | Kişi: Kader | Duygu: Sad (95.7%)
Kare #1100 | Kişi: Selin | Duygu: Sad (99.8%)
Kare #1100 | Kişi: Selin | Duygu: Sad (99.3%)
Kare #1105 | Kişi: Aysu | Duygu: Happy (92.9%)
Kare #1110 | Kişi: Aysu | Duygu: Sad (65.3%)
Kare #1115 | Kişi: Selin | Duygu: Happy (76.1%)
Kare #1120 | Kişi: Aysu | Duygu: Happy (99.2%)
Kare #1125 | Kişi: Aysu | Duygu: Sad (90.1%)
Kare #1130 | Kişi: Aysu | Duygu: Happy (87.8%)
Kare #1135 | Kişi: Selin | Duygu: Sad (68.6%)
Kare #1140 | Kişi: Aysu | Duygu: Sad (94.2%)
Kare #1145 | Kişi: Aysu | Duygu: Sad (84.5%)
Kare #1150 | Kişi: Aysu | Duygu: Sad (95.0%)
Kare #1155 | Kişi: Selin | Duygu: Happy (98.9%)
Kare #1160 | Kişi: Aysu | Duygu: Happy (99.5%)
Kare #1165 | Kişi: Selin | Duygu: Happy (76.9%)
Kare #1170 | Kişi: Selin | Duygu: Sad (92.8%)
Kare #1175 | Kişi: Aysu | Duygu: Sad (97.8%)
Kare #1180 | Kişi: Aysu | Duygu: Happy (98.3%)
Kare #1180 | Kişi: Selin | Duygu: Sad (63.8%)
Kare #1185 | Kişi: Selin | Duygu: Happy (94.5%)
Kare #1190 | Kişi: Selin | Duygu: Sad (93.6%)
Kare #1195 | Kişi: Selin | Duygu: Happy (93.2%)
Kare #1200 | Kişi: Selin | Duygu: Sad (72.0%)
Kare #1205 | Kişi: Aysu | Duygu: Happy (100.0%)
Kare #1210 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #1215 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #1220 | Kişi: Aysu | Duygu: Sad (90.5%)
Kare #1225 | Kişi: Aysu | Duygu: Sad (86.3%)
Kare #1230 | Kişi: Aysu | Duygu: Sad (93.1%)
Kare #1235 | Kişi: Selin | Duygu: Happy (55.0%)
Kare #1240 | Kişi: Selin | Duygu: Happy (99.7%)
Kare #1245 | Kişi: Selin | Duygu: Sad (77.8%)
Kare #1250 | Kişi: Selin | Duygu: Happy (65.3%)
Kare #1255 | Kişi: Selin | Duygu: Happy (99.9%)
Kare #1260 | Kişi: Selin | Duygu: Sad (88.4%)
Kare #1265 | Kişi: Selin | Duygu: Happy (90.8%)
Kare #1270 | Kişi: Aysu | Duygu: Happy (99.8%)
Kare #1275 | Kişi: Selin | Duygu: Happy (77.2%)
Kare #1280 | Kişi: Selin | Duygu: Happy (97.2%)
Kare #1285 | Kişi: Aysu | Duygu: Happy (99.9%)
Kare #1290 | Kişi: Selin | Duygu: Sad (61.1%)
Kare #1295 | Kişi: Aysu | Duygu: Sad (86.1%)
Kare #1300 | Kişi: Kader | Duygu: Sad (70.4%)
Kare #1305 | Kişi: Selin | Duygu: Happy (98.3%)
Kare #1310 | Kişi: Aysu | Duygu: Happy (83.3%)
Kare #1315 | Kişi: Kader | Duygu: Happy (95.8%)
Kare #1320 | Kişi: Kader | Duygu: Sad (85.8%)
Kare #1325 | Kişi: Kader | Duygu: Happy (81.0%)
Kare #1330 | Kişi: Selin | Duygu: Sad (99.3%)
Kare #1335 | Kişi: Selin | Duygu: Sad (69.2%)
Kare #1340 | Kişi: Aysu | Duygu: Happy (77.8%)
Kare #1345 | Kişi: Aysu | Duygu: Happy (98.5%)
Kare #1350 | Kişi: Aysu | Duygu: Happy (78.0%)
Kare #1355 | Kişi: Aysu | Duygu: Happy (98.3%)
Kare #1360 | Kişi: Aysu | Duygu: Happy (99.2%)
Kare #1365 | Kişi: Aysu | Duygu: Happy (62.2%)
Kare #1370 | Kişi: Selin | Duygu: Sad (78.4%)
Kare #1375 | Kişi: Selin | Duygu: Sad (98.4%)
Kare #1380 | Kişi: Selin | Duygu: Happy (86.1%)
Kare #1385 | Kişi: Selin | Duygu: Happy (99.4%)
Kare #1390 | Kişi: Selin | Duygu: Happy (68.9%)
Kare #1390 | Kişi: Kader | Duygu: Happy (91.0%)
Kare #1395 | Kişi: Aysu | Duygu: Sad (74.3%)
Kare #1400 | Kişi: Aysu | Duygu: Happy (75.3%)
Kare #1405 | Kişi: Aysu | Duygu: Sad (95.8%)
Kare #1410 | Kişi: Selin | Duygu: Sad (95.4%)
Kare #1415 | Kişi: Aysu | Duygu: Sad (87.1%)
Kare #1420 | Kişi: Kader | Duygu: Sad (83.2%)
Kare #1425 | Kişi: Aysu | Duygu: Happy (72.8%)
Kare #1430 | Kişi: Aysu | Duygu: Sad (99.4%)
Kare #1435 | Kişi: Aysu | Duygu: Sad (87.8%)
Kare #1440 | Kişi: Aysu | Duygu: Happy (81.6%)
Kare #1445 | Kişi: Aysu | Duygu: Happy (99.0%)
Kare #1450 | Kişi: Aysu | Duygu: Happy (64.8%)
Kare #1455 | Kişi: Selin | Duygu: Sad (98.0%)
Kare #1460 | Kişi: Aysu | Duygu: Happy (95.4%)
Kare #1465 | Kişi: Aysu | Duygu: Happy (83.2%)
Kare #1470 | Kişi: Aysu | Duygu: Happy (81.8%)
Kare #1475 | Kişi: Aysu | Duygu: Happy (70.3%)
Kare #1480 | Kişi: Selin | Duygu: Happy (90.7%)
Kare #1485 | Kişi: Aysu | Duygu: Happy (97.4%)
Kare #1490 | Kişi: Aysu | Duygu: Happy (60.5%)
Kare #1495 | Kişi: Selin | Duygu: Sad (79.7%)
Kare #1500 | Kişi: Aysu | Duygu: Sad (97.0%)
Kare #1505 | Kişi: Selin | Duygu: Sad (94.9%)
Kare #1510 | Kişi: Aysu | Duygu: Sad (56.2%)
Kare #1515 | Kişi: Aysu | Duygu: Sad (97.9%)
Kare #1520 | Kişi: Aysu | Duygu: Happy (66.0%)
Kare #1525 | Kişi: Aysu | Duygu: Happy (99.7%)
Kare #1530 | Kişi: Selin | Duygu: Happy (93.8%)
Kare #1535 | Kişi: Aysu | Duygu: Happy (93.0%)
Kare #1540 | Kişi: Selin | Duygu: Sad (75.7%)
Kare #1545 | Kişi: Selin | Duygu: Sad (97.8%)
Kare #1550 | Kişi: Selin | Duygu: Sad (94.7%)
Kare #1555 | Kişi: Selin | Duygu: Happy (80.8%)
Kare #1560 | Kişi: Selin | Duygu: Happy (87.2%)
Kare #1565 | Kişi: Aysu | Duygu: Happy (52.1%)
Kare #1570 | Kişi: Selin | Duygu: Sad (50.5%)
Kare #1575 | Kişi: Aysu | Duygu: Happy (98.7%)
Kare #1580 | Kişi: Selin | Duygu: Sad (58.4%)
Kare #1585 | Kişi: Aysu | Duygu: Sad (51.6%)
Kare #1590 | Kişi: Aysu | Duygu: Happy (69.7%)
Kare #1595 | Kişi: Selin | Duygu: Happy (94.7%)
Kare #1600 | Kişi: Selin | Duygu: Sad (88.8%)
Kare #1605 | Kişi: Aysu | Duygu: Happy (81.9%)
Kare #1610 | Kişi: Kader | Duygu: Sad (99.2%)
Kare #1615 | Kişi: Selin | Duygu: Happy (54.9%)
Kare #1620 | Kişi: Kader | Duygu: Happy (74.7%)
Kare #1625 | Kişi: Selin | Duygu: Happy (86.4%)
Kare #1630 | Kişi: Selin | Duygu: Happy (68.8%)
Kare #1635 | Kişi: Aysu | Duygu: Happy (51.7%)
Kare #1640 | Kişi: Selin | Duygu: Sad (99.9%)
Kare #1645 | Kişi: Selin | Duygu: Happy (99.5%)
Kare #1650 | Kişi: Selin | Duygu: Happy (99.0%)
Kare #1655 | Kişi: Selin | Duygu: Happy (93.0%)
Kare #1660 | Kişi: Kader | Duygu: Sad (50.2%)
Kare #1665 | Kişi: Selin | Duygu: Happy (91.4%)
Kare #1670 | Kişi: Selin | Duygu: Happy (71.4%)
Kare #1675 | Kişi: Selin | Duygu: Happy (86.7%)
Kare #1680 | Kişi: Aysu | Duygu: Happy (93.5%)
Kare #1685 | Kişi: Aysu | Duygu: Happy (91.8%)
Kare #1690 | Kişi: Selin | Duygu: Sad (98.4%)
Kare #1695 | Kişi: Selin | Duygu: Sad (88.3%)
Kare #1700 | Kişi: Kader | Duygu: Happy (99.7%)
Kare #1705 | Kişi: Selin | Duygu: Happy (95.3%)
Kare #1710 | Kişi: Aysu | Duygu: Sad (89.2%)
Kare #1715 | Kişi: Selin | Duygu: Happy (94.1%)
Kare #1720 | Kişi: Selin | Duygu: Happy (98.6%)
Kare #1725 | Kişi: Selin | Duygu: Happy (99.4%)
Kare #1730 | Kişi: Selin | Duygu: Sad (65.6%)
Kare #1735 | Kişi: Kader | Duygu: Sad (98.3%)
Kare #1740 | Kişi: Selin | Duygu: Sad (95.3%)
